T;P;F
0;NaN;NaN
0.06919625;NaN;NaN
0.080920312;NaN;NaN
0.091623047;NaN;NaN
0.102240625;NaN;NaN
0.112824414;NaN;NaN
0.123922148;NaN;NaN
0.135218554;NaN;NaN
0.146471015;NaN;NaN
0.157836992;NaN;NaN
0.16911125;NaN;NaN
0.17990875;NaN;NaN
0.192357422;NaN;NaN
0.204125273;0.0025;400
0.240389179;0.000125;8000
0.252052656;0.000125;8000
0.274909297;NaN;NaN
0.286823515;NaN;NaN
0.299995312;0.003916666667;255.3191489
0.312718515;0.003916666667;255.3191489
0.324056132;0.005166666667;193.5483871
0.336030273;0.002229166667;448.5981308
0.348408984;0.002229166667;448.5981308
0.359475273;0.004729166667;211.4537445
0.371372695;0.004729166667;211.4537445
0.383078047;0.00425;235.2941176
0.394969062;0.0045;222.2222222
0.406764882;0.0045;222.2222222
0.418139609;0.0049375;202.5316456
0.430318867;0.0049375;202.5316456
0.442565976;NaN;NaN
0.455915859;NaN;NaN
0.467585507;NaN;NaN
0.478871367;0.0056875;175.8241758
0.490943047;0.0056875;175.8241758
0.618549023;0.0074375;134.4537815
0.63204539;0.00675;148.1481481
0.645384961;0.00675;148.1481481
1.440684648;0.0071875;139.1304348
2.224014062;0.003020833333;331.0344828
2.241180039;0.0008541666667;1170.731707
2.407634648;0.0043125;231.884058
2.427629531;0.005479166667;182.5095057
2.466953164;0.006979166667;143.2835821
2.520945664;0.004791666667;208.6956522
2.538431601;0.000125;8000
2.558188593;0.000125;8000
2.572762109;0.0058125;172.0430108
2.593475;0.0058125;172.0430108
2.607676211;0.003854166667;259.4594595
2.623802304;0.000125;8000
2.639089843;0.0001875;5333.333333
2.654243711;0.0001875;5333.333333
2.667535586;0.0001875;5333.333333
2.679537617;0.0001875;5333.333333
2.693883672;0.0001875;5333.333333
2.707579765;0.0001875;5333.333333
2.718987461;0.0001875;5333.333333
2.731513789;0.0001875;5333.333333
2.744135078;0.0001875;5333.333333
2.755527539;0.0001875;5333.333333
2.769879922;0.0001875;5333.333333
2.782930781;0.0001875;5333.333333
2.798684375;0.0001875;5333.333333
2.814826757;0.0001875;5333.333333
2.831562187;0.0001875;5333.333333
2.843513906;0.0001875;5333.333333
2.855700234;0.0001875;5333.333333
2.86725582;0.0001875;5333.333333
2.878592382;0.0001875;5333.333333
2.890863906;0.0001875;5333.333333
2.902560234;0.0001875;5333.333333
2.920931484;0.0001875;5333.333333
2.934599218;0.0001875;5333.333333
2.950870625;0.0001875;5333.333333
2.964382031;0.0001875;5333.333333
2.984457734;0.0001875;5333.333333
3.000512578;0.0001875;5333.333333
3.016331484;0.0001875;5333.333333
3.035207851;0.0001875;5333.333333
3.046642343;0.0001875;5333.333333
3.057865468;0.0001875;5333.333333
3.071100742;0.0001875;5333.333333
3.082354843;0.0001875;5333.333333
3.094338359;0.0001875;5333.333333
3.106211328;0.0001875;5333.333333
3.120164101;0.0001875;5333.333333
3.141575976;0.0001875;5333.333333
3.156310976;0.0001875;5333.333333
3.169950468;0.0001875;5333.333333
3.185005195;0.0001875;5333.333333
3.206737578;0.0001875;5333.333333
3.225233515;0.0001875;5333.333333
3.241708593;0.0001875;5333.333333
3.25961332;0.0001875;5333.333333
3.278820547;0.0001875;5333.333333
3.292980117;0.0001875;5333.333333
3.305792382;0.0001875;5333.333333
3.319635117;0.0001875;5333.333333
3.332758554;0.0001875;5333.333333
3.344264804;0.0001875;5333.333333
3.359926484;0.0001875;5333.333333
3.374530273;0.0001875;5333.333333
3.387534062;0.0001875;5333.333333
3.400728164;0.0001875;5333.333333
3.415610703;0.0001875;5333.333333
3.434565195;0.0001875;5333.333333
3.452387187;0.0001875;5333.333333
3.467291992;0.0001875;5333.333333
3.48521832;0.0001875;5333.333333
3.503749257;0.0001875;5333.333333
3.522522539;0.0001875;5333.333333
3.541612929;0.0001875;5333.333333
